Date,Open,High,Low,Close,Volume
09/07/2023,"175.18","178.21","173.54","177.56","112,488,797"
09/06/2023,"188.40","188.85","181.47","182.91","81,755,820"
09/05/2023,"188.28","189.98","187.61","189.70","45,280,031"
09/01/2023,"189.49","189.92","188.28","189.46","45,766,500"
08/31/2023,"187.84","189.12","187.48","187.87","60,794,473"
08/30/2023,"184.94","187.85","184.74","187.65","60,813,887"
08/29/2023,"179.70","184.90","179.50","184.12","53,003,953"
08/28/2023,"180.09","180.59","178.55","180.19","43,820,699"
08/25/2023,"177.38","179.15","175.82","178.61","51,449,594"
08/24/2023,"180.67","181.10","176.01","176.38","54,945,801"
08/23/2023,"178.52","181.55","178.33","181.12","52,722,754"
08/22/2023,"177.06","177.68","176.25","177.23","42,084,246"
08/21/2023,"175.07","176.13","173.74","175.84","46,311,879"
08/18/2023,"172.30","175.10","171.96","174.49","61,172,152"
08/17/2023,"177.14","177.51","173.48","174.00","66,062,883"
08/16/2023,"177.13","178.54","176.50","176.57","46,964,859"
08/15/2023,"178.88","179.48","177.05","177.45","43,622,594"
08/14/2023,"177.97","179.69","177.31","179.46","43,675,633"
08/11/2023,"177.32","178.62","176.55","177.79","52,036,672"
08/10/2023,"179.48","180.75","177.60","177.97","54,686,848"
08/09/2023,"180.87","180.93","177.01","178.19","60,378,488"
08/08/2023,"179.69","180.27","177.58","179.80","67,823,000"
08/07/2023,"182.13","183.13","177.35","178.85","97,576,070"
08/04/2023,"185.52","187.38","181.92","181.99","115,956,797"
08/03/2023,"191.57","192.37","190.69","191.17","62,243,281"
08/02/2023,"195.04","195.18","191.85","192.58","50,389,328"
08/01/2023,"196.24","196.73","195.28","195.61","35,281,434"
07/31/2023,"196.06","196.49","195.26","196.45","38,824,113"
07/28/2023,"194.67","196.63","194.14","195.83","48,291,441"
07/27/2023,"196.02","197.20","192.55","193.22","47,460,180"
07/26/2023,"193.67","195.64","193.32","194.50","47,471,871"
07/25/2023,"193.33","194.44","192.92","193.62","37,283,199"
07/24/2023,"193.41","194.91","192.25","192.75","45,505,102"
07/21/2023,"194.10","194.97","191.23","191.94","71,951,680"
07/20/2023,"195.09","196.47","192.50","193.13","59,581,199"
07/19/2023,"193.10","198.23","192.65","195.10","80,507,320"
07/18/2023,"193.35","194.33","192.42","193.73","48,353,770"
07/17/2023,"191.90","194.32","191.81","193.99","50,520,160"
07/14/2023,"190.23","191.18","189.63","190.69","41,616,238"
07/13/2023,"190.50","191.19","189.78","190.54","41,342,340"
07/12/2023,"189.68","191.70","188.47","189.77","60,750,246"
07/11/2023,"189.16","189.30","186.60","188.08","46,638,121"
07/10/2023,"189.26","189.99","187.04","188.61","59,922,160"
07/07/2023,"191.41","192.67","190.24","190.68","46,815,000"
07/06/2023,"189.84","192.02","189.20","191.81","45,156,008"
07/05/2023,"191.57","192.98","190.62","191.33","46,920,262"
07/03/2023,"193.78","193.88","191.76","192.46","31,346,600"
06/30/2023,"191.63","194.48","191.26","193.97","85,213,219"
06/29/2023,"189.08","190.07","188.94","189.59","46,347,312"
06/28/2023,"187.93","189.90","187.60","189.25","51,216,801"
06/27/2023,"185.89","188.39","185.67","188.06","50,730,848"
06/26/2023,"186.83","188.05","185.23","185.27","48,088,660"
06/23/2023,"185.55","187.56","185.01","186.68","53,117,000"
06/22/2023,"183.74","187.05","183.67","187.00","51,245,328"
06/21/2023,"184.90","185.41","182.59","183.96","49,515,699"
06/20/2023,"184.41","186.10","184.41","185.01","49,799,090"
06/16/2023,"186.73","186.99","184.27","184.92","101,256,203"
06/15/2023,"183.96","186.52","183.78","186.01","65,433,168"
06/14/2023,"183.37","184.39","182.02","183.95","57,462,879"
06/13/2023,"182.80","184.15","182.44","183.31","54,929,129"
06/12/2023,"181.27","183.89","180.97","183.79","54,755,000"
06/09/2023,"181.50","182.23","180.63","180.96","48,899,969"
06/08/2023,"177.90","180.84","177.46","180.57","50,214,879"
06/07/2023,"178.44","181.21","177.32","177.82","61,944,621"
06/06/2023,"179.97","180.12","177.43","179.21","64,848,367"
06/05/2023,"182.63","184.95","178.04","179.58","121,946,492"
06/02/2023,"181.03","181.78","179.26","180.95","61,996,910"
06/01/2023,"177.70","180.12","176.93","180.09","68,901,805"
05/31/2023,"177.33","179.35","176.76","177.25","99,625,289"
05/30/2023,"176.96","178.99","176.57","177.30","55,964,398"
05/26/2023,"173.32","175.77","173.11","175.43","54,834,980"
05/25/2023,"172.41","173.90","171.69","172.99","56,058,262"
05/24/2023,"171.09","172.42","170.52","171.84","45,143,488"
05/23/2023,"173.13","173.38","171.28","171.56","50,747,262"
05/22/2023,"173.98","174.71","173.45","174.20","43,570,930"
05/19/2023,"176.39","176.39","174.94","175.16","55,809,480"
05/18/2023,"173.00","175.24","172.58","175.05","65,496,660"
05/17/2023,"171.71","172.93","170.42","172.69","57,951,602"
05/16/2023,"171.99","173.14","171.80","172.07","42,110,289"
05/15/2023,"173.16","173.21","171.47","172.07","37,266,660"
05/12/2023,"173.62","174.06","171.00","172.57","45,533,141"
05/11/2023,"173.85","174.59","172.17","173.75","49,514,680"
05/10/2023,"173.02","174.03","171.90","173.56","53,724,500"
05/09/2023,"173.05","173.54","171.60","171.77","45,326,871"
05/08/2023,"172.48","173.85","172.11","173.50","55,962,793"
05/05/2023,"170.98","174.30","170.76","173.57","113,453,203"
05/04/2023,"164.89","167.04","164.31","165.79","81,235,430"
05/03/2023,"169.50","170.92","167.16","167.45","65,136,020"
05/02/2023,"170.09","170.35","167.54","168.54","48,425,699"
05/01/2023,"169.28","170.45","168.64","169.59","52,472,941"
04/28/2023,"168.49","169.85","167.88","169.68","55,275,848"
04/27/2023,"165.19","168.56","165.19","168.41","64,902,328"
04/26/2023,"163.06","165.28","162.80","163.76","45,498,801"
04/25/2023,"165.19","166.31","163.73","163.77","48,714,059"
04/24/2023,"165.00","165.60","163.89","165.33","41,949,578"
04/21/2023,"165.05","166.45","164.49","165.02","58,337,340"
04/20/2023,"166.09","167.87","165.56","166.65","52,456,379"
04/19/2023,"165.80","168.16","165.54","167.63","47,720,168"
04/18/2023,"166.10","167.41","165.65","166.47","49,923,008"
04/17/2023,"165.09","165.39","164.03","165.23","41,516,219"
04/14/2023,"164.59","166.32","163.82","165.21","49,386,480"
04/13/2023,"161.63","165.80","161.42","165.56","68,445,648"
04/12/2023,"161.22","162.06","159.78","160.10","50,133,059"
04/11/2023,"162.35","162.36","160.51","160.80","47,644,219"
04/10/2023,"161.42","162.03","160.08","162.03","47,716,879"
04/06/2023,"162.43","164.96","162.00","164.66","45,390,121"
04/05/2023,"164.74","165.05","161.80","163.76","51,511,738"
04/04/2023,"166.60","166.84","165.11","165.63","46,278,301"
04/03/2023,"164.27","166.29","164.22","166.17","56,976,191"
03/31/2023,"162.44","165.00","161.91","164.90","68,749,789"
03/30/2023,"161.53","162.47","161.27","162.36","49,501,688"
03/29/2023,"159.37","161.05","159.35","160.77","51,305,688"
03/28/2023,"157.97","158.49","155.98","157.65","45,992,152"
03/27/2023,"159.94","160.77","157.87","158.28","52,390,273"
03/24/2023,"158.86","160.34","157.85","160.25","59,256,340"
03/23/2023,"158.83","161.55","157.68","158.93","67,622,062"
03/22/2023,"159.30","162.14","157.81","157.83","75,701,805"
03/21/2023,"157.32","159.40","156.54","159.28","73,938,289"
03/20/2023,"155.07","157.82","154.15","157.40","73,641,422"
03/17/2023,"156.08","156.74","154.28","155.00","98,944,633"
03/16/2023,"152.16","156.46","151.64","155.85","76,254,414"
03/15/2023,"151.19","153.25","149.92","152.99","77,167,875"
03/14/2023,"151.28","153.40","150.10","152.59","73,695,891"
03/13/2023,"147.81","153.14","147.70","150.47","84,457,117"
03/10/2023,"150.21","150.94","147.61","148.50","68,572,398"
03/09/2023,"153.56","154.54","150.23","150.59","53,833,578"
03/08/2023,"152.81","153.47","151.83","152.87","47,204,793"
03/07/2023,"153.70","154.03","151.13","151.60","56,182,031"
03/06/2023,"153.79","156.30","153.46","153.83","87,558,031"
03/03/2023,"148.05","151.11","147.33","151.03","70,732,305"
03/02/2023,"144.38","146.71","143.90","145.91","52,279,762"
03/01/2023,"146.83","147.23","145.01","145.31","55,478,992"
02/28/2023,"147.05","149.08","146.83","147.41","50,547,000"
02/27/2023,"147.71","149.17","147.45","147.92","44,998,473"
02/24/2023,"147.11","147.19","145.72","146.71","55,469,609"
02/23/2023,"150.09","150.34","147.24","149.40","48,394,246"
02/22/2023,"148.87","149.95","147.16","148.91","51,011,312"
02/21/2023,"150.20","151.30","148.41","148.48","58,867,230"
02/17/2023,"152.35","153.00","150.85","152.55","59,144,121"
02/16/2023,"153.51","156.33","153.35","153.71","68,167,938"
02/15/2023,"153.11","155.50","152.88","155.33","65,669,250"
02/14/2023,"152.12","153.77","150.86","153.20","61,707,566"
02/13/2023,"150.95","154.26","150.92","153.85","62,199,008"
02/10/2023,"149.46","151.34","149.22","151.01","57,450,711"
02/09/2023,"153.78","154.33","150.42","150.87","56,007,141"
02/08/2023,"153.88","154.58","151.17","151.92","64,120,078"
02/07/2023,"150.64","155.23","150.64","154.65","83,322,555"
02/06/2023,"152.58","153.10","150.78","151.73","69,858,312"
02/03/2023,"148.03","157.38","147.83","154.50","154,357,297"
02/02/2023,"148.90","151.18","148.17","150.82","118,339,000"
02/01/2023,"143.97","146.61","141.32","145.43","77,663,633"
01/31/2023,"142.70","144.34","142.28","144.29","65,874,461"
01/30/2023,"144.96","145.55","142.85","143.00","64,015,273"
